GENE	AGGREGATED_IMACT	DB_IMPACT	DB_DRIVER_FREQUENCY	DB_DRIVER_SNV_FREQUENCY	DB_DRIVER_DELTION_FREQUENCY	DB_DRIVER_AMPLIFICATION_FREQUENCY	DB_MUTATION_FREQUENCY	DB_SNV_FREQUENCY	DB_DELTION_FREQUENCY	DB_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	DRUGS
TP53	172.085	162.535	0.306	0.288	0.022	0.000	0.306	0.288	0.022	0.000	Y	Nutlin-3a[http://www.cancerrxgene.org/translation/Drug/1047];Thapsigargin[http://www.cancerrxgene.org/translation/Drug/180];Obatoclax Mesylate[http://www.cancerrxgene.org/translation/Drug/182];AZD-2281[http://www.cancerrxgene.org/translation/Drug/1017];AKT inhibitor VIII[http://www.cancerrxgene.org/translation/Drug/171];
PIK3CA	90.502	75.343	0.122	0.109	0.000	0.022	0.122	0.109	0.000	0.022	Y	AZD6482[http://www.cancerrxgene.org/translation/Drug/156];AKT inhibitor VIII[http://www.cancerrxgene.org/translation/Drug/171];PAC-1[http://www.cancerrxgene.org/translation/Drug/175];Pazopanib[http://www.cancerrxgene.org/translation/Drug/199];GW 441756[http://www.cancerrxgene.org/translation/Drug/1023];SB 216763[http://www.cancerrxgene.org/translation/Drug/1025];
EGFR	71.304	262.780	0.576	0.284	0.000	0.520	0.581	0.284	0.000	0.524	Y	BIBW2992[http://www.cancerrxgene.org/translation/Drug/1032];Bosutinib[http://www.cancerrxgene.org/translation/Drug/1019];
CDK4	71.304	75.552	0.183	0.000	0.000	0.183	0.183	0.000	0.000	0.183	Y	SB 216763[http://www.cancerrxgene.org/translation/Drug/1025];Vorinostat[http://www.cancerrxgene.org/translation/Drug/1012];
PIK3R1	71.304	54.482	0.092	0.087	0.009	0.000	0.092	0.087	0.009	0.000	Y	Gefitinib[http://www.cancerrxgene.org/translation/Drug/1010];PHA-665752[http://www.cancerrxgene.org/translation/Drug/6];
AP2A2	53.335	12.213	0.017	0.004	0.013	0.000	0.017	0.004	0.013	0.000	N	
INS	53.335	11.608	0.017	0.004	0.013	0.000	0.017	0.004	0.013	0.000	N	
CSNK2A1	53.335	2.387	0.004	0.000	0.004	0.000	0.004	0.000	0.004	0.000	N	
PIK3CD	53.335	5.330	0.013	0.000	0.004	0.009	0.013	0.000	0.004	0.009	N	
RB1	47.446	56.303	0.100	0.079	0.026	0.000	0.100	0.079	0.026	0.000	Y	PD-0332991[http://www.cancerrxgene.org/translation/Drug/1054];Nutlin-3a[http://www.cancerrxgene.org/translation/Drug/1047];
FGFR2	47.446	12.825	0.017	0.004	0.004	0.009	0.017	0.004	0.004	0.009	Y	PD-173074[http://www.cancerrxgene.org/translation/Drug/1049];A-443654[http://www.cancerrxgene.org/translation/Drug/86];
CDKN1B	47.446	9.812	0.013	0.004	0.004	0.004	0.017	0.004	0.004	0.009	Y	
