GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	1318.532	193.770	0.454	0.470	NA	NA
CDKN2B	MUT	1318.532	169.776	0.384	0.448	NA	NA
PRKY	DEL	1318.532	77.840	0.183	0.195	NA	NA
SNRPB	MUT	1318.532	4.020	0.003	0.003	NA	NA
PCDH11Y	DEL	1318.532	29.250	0.189	0.198	NA	NA
PCDHA10	DEL	1318.532	7.128	0.024	0.024	NA	NA
EPHA1	MUT	1318.532	8.188	0.006	0.009	NA	NA
OBSCN	MUT	1318.532	6.945	0.021	0.030	NA	NA
RBMY1A1	DEL	1318.532	6.531	0.021	0.149	NA	NA
ZNF317	MUT	7.265	0.065	0.006	0.009	NA	NA
RPS4Y1	DEL	5.592	4.989	0.030	0.192	NA	NA
MAN2B1	MUT	2.890	0.020	0.006	0.015	NA	NA
TBL1Y	DEL	2.680	41.165	0.073	0.195	NA	NA
MEN1	MUT	2.630	1.129	0.006	0.009	NA	NA
