GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BMPR2	MUT	444.193	1.354	0.003	0.003	NA	NA
CDKN2A	DEL	444.193	193.770	0.454	0.470	NA	NA
EGFR	AMPL_MUT	444.193	212.540	0.393	0.393	NA	NA
IL18R1	MUT	444.193	1.373	0.006	0.009	NA	NA
SLC6A3	MUT	444.193	7.884	0.018	0.018	NA	NA
CDKN2B	DEL	444.193	169.776	0.384	0.448	NA	NA
RYR3	MUT	16.713	10.504	0.040	0.052	NA	NA
ZNF713	AMPL	11.149	7.096	0.076	0.116	NA	NA
PHKG1	AMPL	9.234	11.889	0.064	0.079	NA	NA
LIPG	MUT	7.937	0.024	0.003	0.003	NA	NA
NCAM1	MUT	6.007	0.018	0.003	0.006	NA	NA
PCSK1	MUT	3.193	4.107	0.006	0.006	NA	NA
