GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CBL	MUT	348.655	3.216	0.006	0.006	NA	NA
HCLS1	MUT	348.655	2.540	0.009	0.009	NA	NA
ITGAX	MUT	348.655	4.840	0.018	0.018	NA	NA
PIK3R1	MUT	348.655	51.921	0.091	0.091	NA	NA
PLCB1	MUT	348.655	1.063	0.003	0.003	NA	NA
TTN	MUT	348.655	57.477	0.116	0.207	NA	NA
PRKY	DEL	348.655	77.840	0.183	0.195	NA	NA
SSTR4	MUT	348.655	2.567	0.009	0.012	NA	NA
NF1	MUT	348.655	39.799	0.055	0.095	NA	NA
PCDH11Y	DEL	14.799	29.250	0.189	0.198	NA	NA
ZNF77	MUT	5.319	0.016	0.003	0.003	NA	NA
ATP8A1	MUT	2.807	0.009	0.003	0.003	NA	NA
