GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AMPH	MUT	285.884	10.895	0.021	0.021	N	NA
DNMBP	MUT	285.884	5.864	0.018	0.024	N	NA
EZR	MUT	285.884	3.173	0.012	0.012	Y	NA
HLA-DRB1	AMPL	285.884	47.596	0.189	0.189	N	NA
TP53	MUT	285.884	92.196	0.284	0.284	Y	NA
GABRA1	MUT	285.884	5.265	0.015	0.015	N	NA
PTEN	MUT	285.884	83.171	0.290	0.314	Y	NA
BRSK1	MUT	285.884	0.872	0.003	0.003	N	NA
TRPV6	MUT	5.804	2.402	0.009	0.024	N	NA
PHKA1	MUT	2.861	0.009	0.003	0.006	N	NA
