GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	447.392	15.969	0.030	0.030	NA	NA
EGFR	MUT	447.392	212.540	0.393	0.393	NA	NA
CD53	MUT	447.392	1.380	0.006	0.006	NA	NA
COL6A3	MUT	447.392	17.046	0.034	0.034	NA	NA
PTEN	MUT	447.392	146.881	0.299	0.314	NA	NA
PLCH1	MUT	447.392	4.595	0.006	0.006	NA	NA
DDB1	MUT	447.392	1.364	0.003	0.003	NA	NA
FZR1	MUT	447.392	1.364	0.003	0.003	NA	NA
IRF7	DEL	447.392	1.364	0.003	0.003	NA	NA
ERC1	MUT	447.392	3.245	0.009	0.009	NA	NA
PAX6	MUT	447.392	1.436	0.009	0.009	NA	NA
ZNF442	MUT	28.731	0.088	0.003	0.003	NA	NA
CACNA1H	DEL	9.813	4.135	0.034	0.043	NA	NA
CDH9	MUT	9.289	1.773	0.021	0.021	NA	NA
