GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ITGAX	MUT	175.464	4.840	0.018	0.018	NA	NA
ITPR1	MUT	175.464	3.951	0.012	0.012	NA	NA
NID1	MUT	175.464	0.535	0.003	0.003	NA	NA
CDKN2A	DEL	11.247	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	11.247	169.776	0.384	0.448	NA	NA
ARHGAP5	MUT	9.653	2.051	0.009	0.009	NA	NA
SHB	MUT	3.741	5.424	0.012	0.012	NA	NA
PCDHGC5	MUT	3.605	14.185	0.107	0.110	NA	NA
PPYR1	DEL	3.462	13.561	0.037	0.040	NA	NA
PTPRD	MUT	3.263	4.143	0.015	0.015	NA	NA
EIF4E1B	MUT	2.858	2.161	0.006	0.006	NA	NA
ZNF358	MUT	2.630	0.017	0.006	0.009	NA	NA
KLHL9	DEL	2.537	37.392	0.104	0.229	NA	NA
IFNA1	DEL	2.509	47.119	0.110	0.256	NA	NA
IFNB1	DEL	2.509	16.294	0.040	0.174	NA	NA
