GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANGPT4	MUT	425.311	3.330	0.006	0.015	NA	NA
PIK3CG	MUT	425.311	22.232	0.037	0.037	NA	NA
GABRA6	MUT	425.311	10.281	0.024	0.027	NA	NA
CDK4	AMPL	425.311	64.697	0.113	0.116	NA	NA
TP53	MUT	425.311	159.942	0.284	0.284	NA	NA
COL5A1	MUT	425.311	1.297	0.003	0.003	NA	NA
MMP9	MUT	425.311	4.548	0.006	0.006	NA	NA
LAMB3	MUT	425.311	6.791	0.012	0.012	NA	NA
STAT4	MUT	425.311	4.509	0.006	0.006	NA	NA
CALML5	MUT	36.767	7.857	0.015	0.015	NA	NA
SNRK	MUT	3.968	0.012	0.003	0.003	NA	NA
