GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
GLI2	MUT	259.729	0.792	0.003	0.003	NA	NA
JAK1	MUT	259.729	3.204	0.006	0.006	NA	NA
RELN	MUT	259.729	19.208	0.034	0.046	NA	NA
RYR2	MUT	259.729	21.623	0.052	0.079	NA	NA
RERE	MUT	259.729	10.892	0.018	0.027	NA	NA
RRM2	MUT	259.729	2.667	0.006	0.006	NA	NA
AKAP9	MUT	9.778	12.853	0.027	0.027	NA	NA
PCDHAC2	MUT	9.257	13.228	0.101	0.101	NA	NA
MAST4	MUT	6.090	3.078	0.009	0.021	NA	NA
POLR1A	MUT	2.977	3.022	0.006	0.006	NA	NA
AHR	MUT	2.713	6.877	0.012	0.021	NA	NA
TTN	MUT	2.707	57.477	0.116	0.207	NA	NA
