GENE	TYPE	SAMPLE_IMPACT	DB_IMPACT	DB_DRIVER_FREQUENCY	DB_DRIVER_SNV_FREQUENCY	DB_DRIVER_DELTION_FREQUENCY	DBDRIVER_AMPLIFICATION_FREQUENCY	DB_MUTATION_FREQUENCY	DB_SNV_FREQUENCY	DB_DELTION_FREQUENCY	DB_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	
ACTB	AMPL	656.200	7.062	0.012	0.000	0.000	0.012	0.012	0.000	0.000	0.012	N	NA
AMPH	AMPL	656.200	11.110	0.021	0.012	0.000	0.009	0.021	0.012	0.000	0.009	N	NA
EGFR	AMPL_MUT	656.200	132.502	0.393	0.262	0.000	0.241	0.393	0.262	0.000	0.241	Y	NA
GLI3	AMPL	656.200	9.637	0.018	0.006	0.000	0.012	0.018	0.006	0.000	0.012	N	NA
HNRNPA2B1	AMPL	656.200	6.836	0.009	0.000	0.000	0.009	0.012	0.000	0.000	0.012	Y	NA
ITGB8	AMPL	656.200	6.880	0.015	0.003	0.000	0.012	0.015	0.003	0.000	0.012	N	NA
PIK3C2B	AMPL	656.200	17.980	0.052	0.012	0.000	0.043	0.055	0.012	0.000	0.046	N	NA
PPIA	AMPL	656.200	9.621	0.018	0.000	0.000	0.018	0.018	0.000	0.000	0.018	N	NA
PSMA2	AMPL	656.200	8.663	0.015	0.000	0.000	0.015	0.015	0.000	0.000	0.015	N	NA
PTEN	MUT	656.200	82.314	0.290	0.265	0.024	0.000	0.314	0.290	0.024	0.000	Y	NA
RAC1	AMPL	656.200	4.346	0.006	0.000	0.000	0.006	0.006	0.000	0.000	0.006	N	NA
RB1	MUT	656.200	24.137	0.067	0.061	0.009	0.000	0.070	0.064	0.009	0.000	Y	NA
SEC61G	AMPL	656.200	37.325	0.159	0.000	0.000	0.159	0.317	0.000	0.000	0.317	N	NA
IGFBP3	AMPL	656.200	7.148	0.018	0.000	0.000	0.018	0.018	0.000	0.000	0.018	N	NA
STK17A	AMPL	656.200	8.694	0.018	0.000	0.000	0.018	0.018	0.000	0.000	0.018	N	NA
IKZF1	AMPL	656.200	9.795	0.030	0.006	0.000	0.024	0.030	0.006	0.000	0.024	Y	NA
ADCYAP1R1	AMPL	656.200	4.491	0.006	0.000	0.000	0.006	0.018	0.003	0.000	0.015	N	NA
AQP1	AMPL	3.948	0.024	0.006	0.000	0.000	0.006	0.018	0.000	0.000	0.018	N	NA
TAX1BP1	AMPL	2.545	0.008	0.003	0.000	0.000	0.003	0.015	0.000	0.000	0.015	N	NA
