GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
F5	MUT	802.642	10.644	0.018	0.021	NA	NA
LAMA1	MUT	802.642	14.022	0.018	0.018	NA	NA
PIK3CG	MUT	802.642	16.495	0.027	0.037	NA	NA
PIK3R1	MUT	802.642	51.800	0.091	0.091	NA	NA
SERPING1	MUT	802.642	2.447	0.003	0.003	NA	NA
TP53	MUT	802.642	159.660	0.284	0.284	NA	NA
TTN	MUT	802.642	37.836	0.098	0.207	NA	NA
PTEN	MUT	802.642	126.731	0.259	0.314	NA	NA
SGOL2	MUT	802.642	3.390	0.012	0.012	NA	NA
KCNV1	MUT	6.257	0.019	0.003	0.009	NA	NA
NRK	MUT	2.665	0.017	0.006	0.012	NA	NA
