GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ASPM	MUT	373.109	4.154	0.009	0.015	NA	NA
EGFR	AMPL_MUT	373.109	212.175	0.393	0.393	NA	NA
TP53	MUT	373.109	159.660	0.284	0.284	NA	NA
PPIA	AMPL	373.109	4.123	0.009	0.018	NA	NA
PSMA2	AMPL	373.109	14.679	0.015	0.015	NA	NA
STK17A	AMPL	373.109	5.267	0.006	0.018	NA	NA
POLD2	AMPL	373.109	2.608	0.006	0.018	NA	NA
BCLAF1	MUT	373.109	6.108	0.009	0.015	NA	NA
CAMK2B	AMPL	373.109	9.079	0.009	0.018	NA	NA
STAT2	MUT	373.109	1.138	0.003	0.012	NA	NA
F2RL3	MUT	21.087	0.064	0.003	0.003	NA	NA
GRM3	MUT	21.087	4.857	0.018	0.030	NA	NA
IGFBP1	AMPL	18.256	0.056	0.003	0.018	NA	NA
ZNF713	AMPL	8.418	7.057	0.076	0.116	NA	NA
GCK	AMPL	8.201	3.506	0.006	0.021	NA	NA
CCT6A	AMPL	7.230	16.576	0.073	0.082	NA	NA
PHKG1	AMPL	6.459	11.850	0.064	0.079	NA	NA
DYRK1B	AMPL	3.655	0.011	0.003	0.003	NA	NA
PCDH11Y	DEL	3.104	29.231	0.189	0.198	NA	NA
NFKBIB	AMPL	2.878	0.009	0.003	0.003	NA	NA
