GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
APH1A	MUT	530.989	1.619	0.003	0.006	NA	NA
EGFR	MUT	530.989	212.175	0.393	0.393	NA	NA
IGF2R	MUT	530.989	1.619	0.003	0.006	NA	NA
PIK3CA	MUT	530.989	54.815	0.091	0.091	NA	NA
COL4A6	MUT	530.989	2.804	0.006	0.006	NA	NA
PENK	MUT	530.989	1.619	0.003	0.003	NA	NA
APOB	MUT	530.989	17.396	0.037	0.040	NA	NA
PRKDC	MUT	530.989	8.781	0.021	0.021	NA	NA
CDKN2A	DEL	530.989	174.479	0.421	0.470	NA	NA
MYH14	MUT	10.342	0.032	0.003	0.009	NA	NA
CDH19	MUT	3.809	0.039	0.006	0.006	NA	NA
KLHL9	DEL	2.695	10.024	0.058	0.229	NA	NA
