GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
HLA-DRB1	AMPL	70.815	79.274	0.171	0.189	NA	NA
ITGB7	MUT	70.815	4.142	0.009	0.009	NA	NA
RAB3GAP2	MUT	48.720	0.149	0.003	0.012	NA	NA
PLCB2	MUT	11.064	2.674	0.009	0.009	NA	NA
TRIP6	MUT	6.179	2.646	0.009	0.012	NA	NA
PTEN	MUT	6.109	126.731	0.259	0.314	NA	NA
TEK	DEL	6.109	8.803	0.040	0.064	NA	NA
XIAP	DEL	5.836	0.018	0.003	0.003	NA	NA
ELAVL2	DEL	3.579	18.624	0.088	0.143	NA	NA
OCRL	DEL	3.012	0.009	0.003	0.012	NA	NA
IFNA10	DEL	2.740	0.008	0.003	0.213	NA	NA
CDKN2A	DEL	2.539	174.479	0.421	0.470	NA	NA
