FSTL1	ASPM
CREB3L1	RRAGA
RPS11	CD44
ELMO2	ZNF675
PNMA1	FEZ1
MMP2	MCF2L
SMARCD3	ICAM3
PKNOX2	RHOH
RALYL	NPR1
ERCC5	MCM10
ZHX3	NAB2
APBB2	TAF1C
XDH	TAC1
EDN1	DNM1L
CLK4	CHRNB3
DECR1	SCAMP1
KCNG1	MSH5
CXCR4	LDHA
SALL1	CXCL12
PTPRR	XRCC3
IRAK1	AQP1
CFHR5	RPL36A
TMSB10	PIGT
CXCL3	HHEX
LMAN1	MED13
CHD8	PNOC
SUMO1	SIAH1
GP1BA	ROD1
DDB1	ALPL
OR7A10	MAPK9
MYO9B	MAT1A
EP300	NFX1
MMP7	YIF1A
CRNKL1	TRIP11
XAB2	ATF7IP
RTN1	CLDN16
HIC2	ADAMTS9
CENPQ	ENO1
OR2W1	PRSS3
ATP5G2	GEMIN7
ZEB1	TAOK3
ERG	GNG7
PARN	ZNF302
SOD2	STT3A
CHD9	CTSZ
STK16	OR1D2
PDE1C	IFI35
SEMA4D	ALOX12B
TOB2	ARHGAP25
MAP3K3	ZNF146
MAX	MARCH7
GRM2	TXNIP
OSBPL8	ABCE1
NR4A2	OAS3
RICS	AZI1
PIR	PODXL2
IPO9	LHCGR
CXCL13	SRPK3
SORL1	ATF6
CHD1	GNL3
SYN3	CORO1C
DMC1	MAS1
SERPINF1	GCLM
OR7A17	TIMM22
RPS6KA5	CPT1A
LHB	ST14
TAOK3	KCNV1
STK25	CRNKL1
BRCA1	SLC2A4
SLC12A4	AZGP1
CDC25B	CHD8
BMP3	PMS1
CRYGC	SFTPC
SLK	PPM1F
POU3F1	LAT2
BAZ1B	CBX2
TEK	CLDN3
CD160	DAPK3
TERF2IP	MAOB
COL1A1	DDX24
GRK5	HLA-A
AP1S2	CREBZF
RAB33B	GCN5L2
ALDOC	SCGB2A1
ZNF212	SAP18
ZNF83	CHD9
PRDM2	SEMA3B
PDCD4	LMO2
FOXP3	MED8
CST7	IKZF5
CIAO1	CDKN1B
SELL	ADORA1
LGI2	PLAUR
ANKRD6	MMP1
LTBP4	MC1R
PYY	OR2H2
KCNC1	ALDOB
SIRT6	GGT1
ARHGEF9	MLXIPL
CCL19	COG7
STK17A	HSD17B4
ABR	ACE2
FOXE1	LMX1B
CNGA3	MNX1
GML	CCDC6
CD38	FZD9
NEFH	COX5B
CTDSP2	TRPV1
ZNF257	GRPR
DUSP4	CDK5RAP2
EXOSC7	IRF5
ROR2	PYGM
FOXM1	DMC1
ZBTB48	CTNNA1
MAOA	STK24
TNNT3	STK25
GYPC	PCCA
FBXO11	MAPK11
PLIN	METTL3
RFXAP	GRIN2C
RNF4	PSMD6
PPP1R3D	DARC
GRB2	CALB2
TPM3	DDX3X
EPB42	SEC24A
EIF1	SMURF2
CETN3	NQO1
NTHL1	PPP2R2D
POLR2B	ANXA1
RPS28	PIP4K2C
GDF10	ENO2
P2RX3	TXNDC9
GCC2	SIRT2
RARRES3	CD40LG
PLXNA1	ZBTB16
WBP4	ARRB1
PMF1	ZNF669
HS2ST1	OR12D3
C8G	COX7B
CD82	KLK10
SETDB1	ITGA3
GCLM	CHRNG
PPM1A	RANGAP1
MMP16	NEK9
DRD3	CD2BP2
GMPPA	ATF7
PTP4A2	SIAH2
IL24	PPP2R5C
BDKRB1	SMS
MLF1	NUAK1
EMILIN1	AMELX
ID1	PCBP2
TAF12	EPAS1
NDUFS4	TNK2
PIK3CB	RAD9A
COL18A1	TF
PDZD3	GRM3
COX8A	CEP170
ERBB2IP	LASP1
FUS	IGFBP4
EMX2	MARCKS
TF	WBP4
CLCN4	GNAS
MMP15	VTI1B
NPR1	RGS2
DNAL4	DOK5
POLR2J	CYP3A5
SEC23IP	WARS2
RGS4	MAGI1
UQCRC1	FMR1
DDX18	MAP3K2
SNX6	DGKZ
POLG	ORC1L
ADAM23	MYBPC1
TFR2	BIRC5
RAG1	MYLPF
POMT1	SEC11A
CYP1A1	HSD11B2
SNAPC1	TAX1BP1
GNA11	EPB41L3
CAPN1	CBLB
UPF3A	THOC1
LAGE3	GCM1
GNRHR	S100A12
UNC13B	YAP1
PPBP	SUCLG1
SDC2	PPP1R3D
BTF3	LMO1
CACNB1	PTPN11
QKI	TERF2
SETMAR	LPO
LAMB4	PKN2
MAN2B1	SNAPC4
ACADL	PRMT2
OFD1	APITD1
CGA	RANBP6
PEX16	CDC25B
GNG12	CPSF1
HABP4	HBB
CNTN2	UBE2M
FUT4	MLLT4
DBH	RABGEF1
CD53	TSEN34
HIST1H2BJ	HRH4
TFAP2B	OR7C2
CDH8	GNG11
AGPS	OAZ2
PCCB	COX6C
IPO13	RAD23B
UNG	HOXB3
GSTP1	TESK1
ARHGAP15	SYNJ2
LTBR	ZNF580
PSG4	PITX1
SLC9A3R1	ADAM12
SLC9A3	RGS9
OSBP	POP4
FKBP4	DNM2
ADRA1A	GALR1
ASAH1	MGRN1
ZNF350	HTATSF1
BST1	HTR2B
NCR2	PHF21A
RGS14	PRKD3
KRT15	NPHS2
GFI1	PABPC1
FHL1	APEX1
GATA1	CLPX
SMC6	SNTB2
ARMC6	F10
PSMD5	SST
HK3	SH2D1A
RSU1	PTGIR
RPL4	QDPR
MAD2L1	SLC4A3
RBPMS	PLA2G6
EIF4A3	CHMP1A
E4F1	OBSL1
PRPF3	PENK
CHMP2B	MET
RPS21	GADD45B
XCR1	SLN
UBE2N	AGTR1
KLF4	RAX
LMO4	TAS2R4
KLKB1	HOXB2
HDAC3	E2F1
HP	JAK3
BTK	FBXW4
CLCA1	ZNF552
HUS1	LAMB3
SFRS6	COLQ
CXCR7	RHOC
UIMC1	ACVR2B
GOT2	STRN
FXYD2	ROBO1
ZNF667	SMAD2
ATP7B	PCDHGB6
TFEC	CX3CR1
POLD2	MUC4
DCX	EFNA5
NFYC	ARHGEF12
KIN	PPIL2
PLSCR4	WTAP
PPARGC1A	PSG9
ETFA	BRE
OR6A2	FRAT1
EXOC1	PTBP2
PDAP1	NQO2
POLRMT	DHX15
ZNF146	ADRBK1
MIA2	PYY
EIF4E2	MCM5
HOXB5	PHC3
ZNF324	GSPT2
CUGBP1	SEMA3A
CYP3A5	PITRM1
CUL4B	IL1RN
CENPJ	CYP24A1
PITX1	PSMB4
PDGFRB	DUSP2
RDX	MNDA
CELSR3	CHD5
JUND	SEMG1
ITSN1	CD177
CHRNB1	TH
DCTN1	TH1L
CAMK2B	TAF6L
TNKS2	GZMK
C1QBP	SRRM1
TTC3	RAB4A
NDUFB8	CDKL2
MYF5	RRAS
SEMA3G	HIF1AN
IL23A	LYST
C5	BIRC3
CMA1	ZIM2
PTCRA	HTR5A
HCRTR1	NOS1
FST	RND2
PAWR	CAMK1
LDLR	LAMC3
KIF4A	ARHGEF4
PGM1	UGT2B4
POLR3G	SURF1
CPD	TNFRSF17
SNCAIP	SNX17
DCT	SNRPC
HLA-DOA	PXN
TANK	CAV3
RCAN1	ADRA2A
UPK1B	ZNF639
DNAJB4	RBM39
LIMD2	CTPS2
HSPA2	PLXNB1
TACR2	ZNF37A
NUP85	PEX19
CD177	NBN
PIGG	PAK2
JAK2	LDLRAP1
LGR5	RPS6KA6
DPYSL4	CLCN3
ZNF264	NDUFAB1
SIRPG	KIF3B
BICD1	ARTN
RAB5A	SDCCAG8
CASP1	RFNG
LRP1B	IL22
APOA2	CDH9
SPAG6	GLUD2
KALRN	RPP25
SECTM1	BTK
IFNAR1	S100A8
TALDO1	DUSP12
B2M	HIST1H2BJ
EIF5A	USP18
NCF1	ZIC1
SPG7	BZW1
ZNF614	IVNS1ABP
NUP133	CLTB
HOXA5	TAGLN
FGF12	ECHS1
INPP5B	P2RX4
PPID	GNL1
SNTA1	CALM1
IL20RA	GTF2F2
GCM1	DCLK1
UBE2J1	AHSG
CACNG2	PEG3
ELF1	OXTR
TLR5	MMP25
SAFB2	HGS
MAP3K7IP1	RAB1B
NCK2	MVD
KLRG1	SLC4A2
ZSCAN12	CTCF
PSMD12	HOXA4
E2F4	VPS41
CLEC4M	F9
CLDN10	ZFP30
GYPA	NPTX1
TAC1	RELA
TRAIP	GNB2
ERCC8	ERN2
GPX4	PIGO
DVL1	NTRK1
FBXO3	COL4A1
TYMS	PCDHB1
PEF1	GDF2
OR52A1	TREM1
MCM5	KCNB1
RABGGTB	NR2F6
KCNK7	SPTA1
PTP4A3	TRAF2
SNCA	MPL
ZNF551	NARG1L
ARHGAP26	CREB5
KLRC4	ACTB
GEMIN6	RPS27A
HRAS	TYK2
DSC1	CCL24
MAP2K4	TUBB3
EPB41L3	LCAT
CDKN2B	ELAVL4
WSB1	SKP2
ZNF480	GGNBP2
MAP3K6	ITSN2
PROS1	SNX6
PSMB8	TOP3A
MAS1	ACTA1
APOL1	SEPT2
AHCTF1	KCNG1
AP2S1	CHD4
ITGA2	PLD2
MME	SDHA
MAST4	SAV1
TUFM	CXCR7
THEG	LBR
WDR26	JDP2
NR4A3	TNN
ARSA	TAF9B
TOMM22	NDUFS5
SOCS3	PIR
POP4	ARPC2
BHLHB3	CNKSR2
SOX15	LRP10
MALL	NCBP1
CCNA2	ARID1A
PARK2	AURKAIP1
GPR124	PERP
RUVBL2	SCML2
WNT10B	ATP5D
RPL27	NR2C1
EPN1	CXXC1
MAGI1	POLR3D
GBX2	NCF1
GAL	EFNA1
EIF3H	DRP2
KIF1B	DDX39
MBD2	BIN1
PIGT	SFTPB
PLA2G10	CYBB
ALAS1	SYDE1
FOXO1	APBB1IP
