GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EGFR	AMPL_MUT	347.853	212.540	0.393	0.393	NA	NA
HSPG2	MUT	347.853	16.699	0.024	0.024	NA	NA
LAMC3	MUT	347.853	6.638	0.015	0.015	NA	NA
MDM2	AMPL	347.853	35.160	0.058	0.076	NA	NA
FLNC	MUT	347.853	14.653	0.024	0.024	NA	NA
MC2R	MUT	347.853	6.651	0.009	0.009	NA	NA
UTRN	MUT	347.853	4.300	0.009	0.009	NA	NA
MET	AMPL	347.853	18.320	0.030	0.030	NA	NA
DCTN2	AMPL	25.576	32.033	0.061	0.064	NA	NA
KIF5A	AMPL	25.576	28.156	0.058	0.064	NA	NA
TRRAP	MUT	6.925	15.138	0.034	0.034	NA	NA
TNXB	MUT	3.436	0.040	0.009	0.009	NA	NA
MMP12	MUT	3.159	0.010	0.003	0.003	NA	NA
SF3B2	MUT	2.675	0.072	0.006	0.006	NA	NA
