GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EGFR	MUT	368.393	212.540	0.393	0.393	NA	NA
GRB2	AMPL	368.393	1.123	0.003	0.003	NA	NA
ITGB4	AMPL	368.393	5.335	0.012	0.012	NA	NA
RAB3GAP2	MUT	368.393	3.422	0.012	0.012	NA	NA
HCLS1	MUT	368.393	2.540	0.009	0.009	NA	NA
NCF1	MUT	368.393	13.359	0.018	0.018	NA	NA
KIT	AMPL	368.393	36.037	0.076	0.076	NA	NA
NUP85	AMPL	368.393	1.123	0.003	0.003	NA	NA
TUBA4B	MUT	29.390	0.090	0.003	0.003	NA	NA
CDKN2A	DEL	22.339	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	22.339	169.776	0.384	0.448	NA	NA
GPR37	MUT	22.339	4.263	0.009	0.015	NA	NA
PCDHB6	MUT	12.799	0.051	0.006	0.006	NA	NA
ZNF705D	AMPL	8.845	0.115	0.012	0.015	NA	NA
LY96	MUT	8.373	1.518	0.006	0.006	NA	NA
SEC61G	AMPL	6.776	60.025	0.177	0.317	NA	NA
GGA3	AMPL	6.522	0.020	0.003	0.003	NA	NA
CNTNAP1	MUT	6.041	2.039	0.006	0.006	NA	NA
LLGL2	AMPL	3.549	0.011	0.003	0.003	NA	NA
LILRB2	MUT	2.711	0.016	0.006	0.018	NA	NA
