GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BCAR1	MUT	542.144	5.753	0.009	0.009	NA	NA
DDR1	MUT	542.144	1.674	0.006	0.009	NA	NA
PIK3CG	MUT	542.144	22.232	0.037	0.037	NA	NA
PRKY	DEL	542.144	77.840	0.183	0.195	NA	NA
PTEN	MUT	542.144	146.881	0.299	0.314	NA	NA
RB1	MUT	542.144	41.063	0.070	0.070	NA	NA
NF1	MUT	542.144	39.799	0.055	0.095	NA	NA
KCNV2	MUT	542.144	1.684	0.009	0.012	NA	NA
PCDH11Y	DEL	25.045	29.250	0.189	0.198	NA	NA
FFAR3	DEL	4.890	19.468	0.055	0.067	NA	NA
DDR2	MUT	3.556	0.021	0.006	0.006	NA	NA
MAPK8IP2	MUT	3.072	0.009	0.003	0.006	NA	NA
