GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	332.832	64.697	0.113	0.116	NA	NA
CLASP2	MUT	332.832	1.015	0.003	0.003	NA	NA
EVI5	MUT	332.832	1.015	0.003	0.003	NA	NA
TP53	MUT	332.832	159.942	0.284	0.284	NA	NA
SDC2	MUT	332.832	1.015	0.003	0.003	NA	NA
PIP4K2C	AMPL	332.832	21.134	0.034	0.076	NA	NA
SRPK1	MUT	332.832	5.868	0.009	0.009	NA	NA
PTEN	MUT	332.832	146.881	0.299	0.314	NA	NA
DCTN2	AMPL	332.832	32.033	0.061	0.064	NA	NA
TCF4	MUT	332.832	1.015	0.003	0.003	NA	NA
RGS12	MUT	12.568	1.823	0.009	0.009	NA	NA
KIF5A	AMPL	2.975	28.156	0.058	0.064	NA	NA
