GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADRA2B	AMPL	1344.016	4.152	0.006	0.006	NA	NA
ANK2	MUT	1344.016	15.969	0.030	0.030	NA	NA
APOB	MUT	1344.016	19.241	0.040	0.040	NA	NA
BSG	DEL	1344.016	5.339	0.006	0.006	NA	NA
FBN2	DEL	1344.016	10.139	0.018	0.021	NA	NA
FHL2	AMPL	1344.016	4.098	0.003	0.003	NA	NA
GNAQ	DEL	1344.016	4.098	0.003	0.003	NA	NA
MAPK8	DEL	1344.016	13.585	0.018	0.018	NA	NA
RASA1	DEL	1344.016	4.098	0.003	0.003	NA	NA
MCM6	AMPL	1344.016	5.970	0.009	0.009	NA	NA
MED16	DEL	1344.016	4.106	0.006	0.006	NA	NA
NCK2	AMPL	1344.016	4.098	0.003	0.003	NA	NA
NPAS2	AMPL	1344.016	4.098	0.003	0.003	NA	NA
NRXN1	MUT	1344.016	6.768	0.009	0.015	NA	NA
PRKACG	DEL	1344.016	4.098	0.003	0.003	NA	NA
PTBP1	DEL	1344.016	5.339	0.006	0.009	NA	NA
RAD50	DEL	1344.016	4.107	0.006	0.006	NA	NA
RANBP2	AMPL	1344.016	4.098	0.003	0.003	NA	NA
ZWINT	DEL	1344.016	10.268	0.012	0.015	NA	NA
TLE1	DEL	1344.016	4.098	0.003	0.003	NA	NA
TLE4	DEL	1344.016	5.955	0.006	0.009	NA	NA
TP53	MUT	1344.016	159.942	0.284	0.284	NA	NA
UBE2D1	DEL	1344.016	10.268	0.012	0.012	NA	NA
VCAN	DEL	1344.016	5.806	0.009	0.009	NA	NA
SMARCA2	DEL	1344.016	9.634	0.021	0.021	NA	NA
NCAPH	AMPL	1344.016	4.098	0.003	0.003	NA	NA
PTCH1	AMPL	1344.016	5.212	0.006	0.006	NA	NA
TUBG2	MUT	1344.016	4.098	0.003	0.003	NA	NA
LIMS1	AMPL	1344.016	4.098	0.003	0.003	NA	NA
SYK	DEL	1344.016	4.098	0.003	0.003	NA	NA
ELA2	DEL	1344.016	4.110	0.006	0.006	NA	NA
S1PR3	DEL	1344.016	5.029	0.006	0.006	NA	NA
CHRM4	DEL	1344.016	8.704	0.009	0.009	NA	NA
GPR45	AMPL	1344.016	8.903	0.012	0.012	NA	NA
PCSK1	DEL	1344.016	4.107	0.006	0.006	NA	NA
CDC2L1	DEL	1344.016	11.449	0.018	0.021	NA	NA
NF1	MUT	1344.016	39.799	0.055	0.095	NA	NA
RASGRF2	DEL	1344.016	9.847	0.009	0.009	NA	NA
MSH3	DEL	1344.016	4.098	0.003	0.003	NA	NA
HLA-DRB1	AMPL	1344.016	94.991	0.189	0.189	NA	NA
IL13	DEL	1344.016	4.098	0.003	0.003	NA	NA
SHC2	DEL	1344.016	5.339	0.006	0.006	NA	NA
ZAP70	AMPL	1344.016	6.564	0.009	0.009	NA	NA
CTSL1	DEL	1344.016	4.098	0.003	0.003	NA	NA
PTPRD	DEL_MUT	1344.016	4.143	0.015	0.015	NA	NA
ZNF324	MUT	1344.016	5.936	0.006	0.006	NA	NA
KCNIP3	AMPL	1344.016	4.098	0.003	0.003	NA	NA
PCDH15	DEL	1344.016	8.786	0.027	0.027	NA	NA
TJP2	DEL	1344.016	4.098	0.003	0.003	NA	NA
IL1R1	AMPL	1344.016	9.883	0.009	0.009	NA	NA
MAP4K4	AMPL	1344.016	8.948	0.009	0.009	NA	NA
SEPT10	AMPL	11.266	0.034	0.003	0.006	NA	NA
CFD	DEL	9.112	0.028	0.003	0.006	NA	NA
PRKG1	DEL	9.034	2.725	0.015	0.018	NA	NA
IL18R1	AMPL	6.256	1.373	0.006	0.009	NA	NA
HMHA1	DEL	5.905	4.725	0.009	0.009	NA	NA
KIF3A	DEL	5.878	0.018	0.003	0.003	NA	NA
DKK1	DEL	3.468	0.814	0.006	0.018	NA	NA
CD82	DEL	3.106	0.009	0.003	0.003	NA	NA
ACTR1B	AMPL	2.762	0.008	0.003	0.003	NA	NA
RPS23	DEL	2.618	0.008	0.003	0.003	NA	NA
