GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	756.324	193.770	0.454	0.470	NA	NA
EGFR	AMPL_MUT	756.324	212.540	0.393	0.393	NA	NA
PRKCB	MUT	756.324	4.349	0.009	0.009	NA	NA
TTN	MUT	756.324	57.477	0.116	0.207	NA	NA
EIF4G3	MUT	756.324	5.017	0.006	0.006	NA	NA
PIK3CA	MUT	756.324	54.851	0.091	0.091	NA	NA
KLHL9	DEL	756.324	37.392	0.104	0.229	NA	NA
NCR1	MUT	756.324	4.018	0.006	0.006	NA	NA
CDKN2B	DEL	756.324	169.776	0.384	0.448	NA	NA
RPS4Y1	DEL	756.324	4.989	0.030	0.192	NA	NA
PRKY	DEL	756.324	77.840	0.183	0.195	NA	NA
TBL1Y	DEL	756.324	41.165	0.073	0.195	NA	NA
SEC61G	AMPL	19.556	60.025	0.177	0.317	NA	NA
ZNF713	AMPL	11.542	7.096	0.076	0.116	NA	NA
FAT2	MUT	6.825	0.235	0.027	0.027	NA	NA
PCDH11Y	DEL	6.825	29.250	0.189	0.198	NA	NA
