GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CCL2	MUT	698.441	4.298	0.006	0.006	NA	NA
COL2A1	MUT	698.441	6.501	0.009	0.009	NA	NA
F9	MUT	698.441	3.515	0.009	0.009	NA	NA
SEC61G	AMPL	698.441	60.025	0.177	0.317	NA	NA
DSP	MUT	698.441	12.403	0.018	0.030	NA	NA
PGR	MUT	698.441	12.463	0.015	0.018	NA	NA
IQGAP2	MUT	698.441	2.129	0.003	0.003	NA	NA
MAP4K4	MUT	698.441	8.948	0.009	0.009	NA	NA
ZNF37A	MUT	17.250	0.242	0.015	0.018	NA	NA
MYBL1	MUT	2.562	0.008	0.003	0.003	NA	NA
