GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BCLAF1	MUT	505.044	6.116	0.009	0.015	NA	NA
CEBPB	MUT	505.044	1.540	0.003	0.003	NA	NA
DRD5	MUT	505.044	13.518	0.027	0.027	NA	NA
EGFR	MUT	505.044	212.540	0.393	0.393	NA	NA
HCK	AMPL	505.044	8.380	0.015	0.015	NA	NA
PIK3R1	MUT	505.044	51.921	0.091	0.091	NA	NA
PTEN	MUT	505.044	146.881	0.299	0.314	NA	NA
RUVBL2	MUT	505.044	1.569	0.006	0.006	NA	NA
TSC2	MUT	505.044	7.958	0.012	0.012	NA	NA
PIK3C2B	AMPL	505.044	28.902	0.052	0.055	NA	NA
PRKCG	MUT	505.044	2.417	0.006	0.006	NA	NA
GRIN2B	MUT	505.044	3.939	0.009	0.009	NA	NA
INPP5B	MUT	505.044	1.540	0.003	0.003	NA	NA
SNRPE	AMPL	505.044	9.483	0.027	0.030	NA	NA
SEC61G	AMPL	18.061	60.025	0.177	0.317	NA	NA
CCKAR	MUT	9.594	0.051	0.006	0.006	NA	NA
CFH	MUT	4.178	0.164	0.018	0.021	NA	NA
RYR3	MUT	2.999	10.504	0.040	0.052	NA	NA
