GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CCR8	MUT	279.836	0.853	0.003	0.006	NA	NA
CDKN2A	DEL	279.836	193.770	0.454	0.470	NA	NA
EGFR	MUT	279.836	212.540	0.393	0.393	NA	NA
LAMB1	MUT	279.836	9.752	0.015	0.015	NA	NA
IFNA1	DEL	279.836	47.119	0.110	0.256	NA	NA
IFNA10	DEL	279.836	26.877	0.061	0.213	NA	NA
CDKN2B	DEL	279.836	169.776	0.384	0.448	NA	NA
ZNF91	MUT	10.761	1.440	0.006	0.009	NA	NA
NUP205	MUT	7.833	4.218	0.012	0.015	NA	NA
PCDHGC5	MUT	4.122	14.185	0.107	0.110	NA	NA
