GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	246.952	193.770	0.454	0.470	NA	NA
RB1	MUT	246.952	41.063	0.070	0.070	NA	NA
COL14A1	MUT	246.952	6.012	0.015	0.015	NA	NA
ITGAM	MUT	246.952	6.275	0.015	0.015	NA	NA
PTPRB	MUT	246.952	13.338	0.021	0.021	NA	NA
KDR	MUT	246.952	27.837	0.061	0.064	NA	NA
PTEN	MUT	246.952	146.881	0.299	0.314	NA	NA
RIMS2	MUT	246.952	14.626	0.034	0.034	NA	NA
CDKN2B	DEL	246.952	169.776	0.384	0.448	NA	NA
ZNF41	MUT	8.565	0.026	0.003	0.003	NA	NA
RYR2	MUT	7.805	21.623	0.052	0.079	NA	NA
LRP2	MUT	6.299	19.276	0.046	0.046	NA	NA
TACR3	MUT	4.896	0.053	0.009	0.009	NA	NA
