GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY5	MUT	367.783	5.349	0.015	0.018	NA	NA
CDKN2A	DEL	367.783	193.770	0.454	0.470	NA	NA
EGFR	MUT	367.783	212.540	0.393	0.393	NA	NA
PIK3CA	MUT	367.783	54.851	0.091	0.091	NA	NA
FBN2	MUT	367.783	10.139	0.018	0.021	NA	NA
PIK3CD	DEL	367.783	7.647	0.012	0.012	NA	NA
CDKN2B	DEL	367.783	169.776	0.384	0.448	NA	NA
GLI1	MUT	367.783	40.699	0.064	0.064	NA	NA
MEN1	MUT	367.783	1.129	0.006	0.009	NA	NA
FAT2	MUT	9.109	0.235	0.027	0.027	NA	NA
PCDHB13	MUT	9.109	0.087	0.012	0.012	NA	NA
ELAVL1	MUT	8.485	0.026	0.003	0.003	NA	NA
ITPR1	MUT	5.666	3.951	0.012	0.012	NA	NA
PARK7	DEL	4.815	2.174	0.015	0.015	NA	NA
UBE4B	DEL	2.880	2.178	0.006	0.009	NA	NA
