GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	663.998	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	663.998	169.776	0.384	0.448	NA	NA
GABRA6	MUT	663.998	10.281	0.024	0.027	NA	NA
GABRB2	MUT	663.998	6.636	0.015	0.015	NA	NA
HLA-DRB1	AMPL	663.998	94.991	0.189	0.189	NA	NA
IFNA1	DEL	663.998	47.119	0.110	0.256	NA	NA
LRP2	MUT	663.998	19.276	0.046	0.046	NA	NA
RHOQ	MUT	663.998	2.024	0.003	0.003	NA	NA
HSPG2	MUT	663.998	16.699	0.024	0.024	NA	NA
SEC61G	AMPL	19.557	60.025	0.177	0.317	NA	NA
MCM7	MUT	5.543	6.354	0.009	0.012	NA	NA
NPY5R	MUT	4.939	0.015	0.003	0.009	NA	NA
ATR	MUT	3.822	10.487	0.018	0.018	NA	NA
