GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY1	AMPL	1147.927	23.040	0.030	0.030	NA	NA
ADCYAP1R1	AMPL	1147.927	7.960	0.006	0.018	NA	NA
AMPH	AMPL	1147.927	17.933	0.021	0.021	NA	NA
APBB1	MUT	1147.927	3.500	0.003	0.009	NA	NA
CAMK2B	AMPL	1147.927	16.251	0.018	0.018	NA	NA
CCT6A	AMPL	1147.927	22.069	0.076	0.082	NA	NA
CD3G	AMPL	1147.927	27.459	0.030	0.030	NA	NA
CDKN2A	DEL	1147.927	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	1147.927	169.776	0.384	0.448	NA	NA
IL6	AMPL	1147.927	12.151	0.015	0.015	NA	NA
POLD2	AMPL	1147.927	14.736	0.015	0.018	NA	NA
PPIA	AMPL	1147.927	16.251	0.018	0.018	NA	NA
PSMA2	AMPL	1147.927	14.736	0.015	0.015	NA	NA
EGFR	AMPL	1147.927	212.540	0.393	0.393	NA	NA
GCK	AMPL	1147.927	12.180	0.015	0.021	NA	NA
GLI3	AMPL	1147.927	16.792	0.018	0.018	NA	NA
GRIN2A	MUT	1147.927	17.163	0.024	0.024	NA	NA
HOXA9	AMPL	1147.927	14.363	0.015	0.015	NA	NA
INHBA	AMPL	1147.927	15.142	0.012	0.018	NA	NA
NF1	MUT	1147.927	39.799	0.055	0.095	NA	NA
NOTCH4	MUT	1147.927	7.455	0.012	0.012	NA	NA
PRKY	DEL	1147.927	77.840	0.183	0.195	NA	NA
RALA	AMPL	1147.927	12.628	0.012	0.012	NA	NA
SEC61G	AMPL	1147.927	60.025	0.177	0.317	NA	NA
SEPT7	AMPL	1147.927	15.567	0.012	0.024	NA	NA
DBNL	AMPL	1147.927	13.298	0.018	0.018	NA	NA
MORF4L1	MUT	1147.927	3.500	0.003	0.003	NA	NA
STK17A	AMPL	1147.927	14.801	0.018	0.018	NA	NA
CYCS	AMPL	1147.927	7.676	0.009	0.012	NA	NA
HNRNPA2B1	AMPL	1147.927	13.598	0.012	0.012	NA	NA
IKZF1	AMPL	1147.927	22.419	0.030	0.030	NA	NA
KLHL9	DEL	1147.927	37.392	0.104	0.229	NA	NA
ATN1	MUT	1147.927	7.352	0.012	0.015	NA	NA
LSM5	AMPL	1147.927	12.128	0.009	0.015	NA	NA
NOS1	MUT	1147.927	12.166	0.018	0.018	NA	NA
TEK	DEL	1147.927	25.431	0.061	0.064	NA	NA
NUPL2	AMPL	1147.927	14.157	0.018	0.018	NA	NA
TBL1Y	DEL	1147.927	41.165	0.073	0.195	NA	NA
PCDH11Y	DEL	1147.927	29.250	0.189	0.198	NA	NA
GRB10	AMPL	1147.927	22.509	0.027	0.027	NA	NA
MYO6	MUT	1147.927	3.511	0.006	0.006	NA	NA
PPYR1	DEL	1147.927	13.561	0.037	0.040	NA	NA
SFRP4	AMPL	11.715	4.226	0.012	0.015	NA	NA
IGFBP3	AMPL	5.701	12.769	0.018	0.018	NA	NA
ZNF713	AMPL	4.495	7.096	0.076	0.116	NA	NA
ZNF813	MUT	4.495	0.030	0.009	0.009	NA	NA
HOXA2	AMPL	4.071	4.181	0.006	0.015	NA	NA
PHKG1	AMPL	4.005	11.889	0.064	0.079	NA	NA
AQP1	AMPL	3.922	0.024	0.006	0.018	NA	NA
TLR7	MUT	3.760	0.011	0.003	0.009	NA	NA
ELAVL2	DEL	3.685	18.706	0.088	0.143	NA	NA
MYL7	AMPL	3.584	8.650	0.012	0.018	NA	NA
NOD1	AMPL	3.191	7.284	0.012	0.021	NA	NA
