GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACAN	MUT	331.369	5.674	0.012	0.012	NA	NA
AMPH	MUT	331.369	17.933	0.021	0.021	NA	NA
CDK4	AMPL	331.369	64.697	0.113	0.116	NA	NA
PPP1CC	MUT	331.369	1.010	0.003	0.003	NA	NA
TP53	MUT	331.369	159.942	0.284	0.284	NA	NA
TGFBR2	MUT	331.369	4.078	0.009	0.009	NA	NA
PTEN	MUT	331.369	146.881	0.299	0.314	NA	NA
TLR2	MUT	6.712	1.424	0.009	0.009	NA	NA
CELSR3	MUT	5.853	0.102	0.012	0.012	NA	NA
AGRN	MUT	5.578	2.073	0.006	0.006	NA	NA
GRPR	MUT	3.474	0.011	0.003	0.003	NA	NA
IL12B	MUT	2.600	0.008	0.003	0.003	NA	NA
