GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANAPC1	MUT	392.732	2.718	0.006	0.006	NA	NA
CDKN2A	DEL	392.732	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	392.732	169.776	0.384	0.448	NA	NA
CDK5RAP2	MUT	392.732	1.197	0.003	0.006	NA	NA
EGFR	AMPL_MUT	392.732	212.540	0.393	0.393	NA	NA
LAMA3	MUT	392.732	6.152	0.012	0.012	NA	NA
TTN	MUT	392.732	57.477	0.116	0.207	NA	NA
MYLK	MUT	392.732	2.044	0.006	0.006	NA	NA
NFATC2	MUT	392.732	1.865	0.006	0.006	NA	NA
HLA-DRB1	AMPL	392.732	94.991	0.189	0.189	NA	NA
SEC61G	AMPL	6.661	60.025	0.177	0.317	NA	NA
EEF1A1	MUT	4.957	1.318	0.012	0.012	NA	NA
PCDH15	MUT	4.102	8.786	0.027	0.027	NA	NA
CACNA1C	MUT	3.160	3.256	0.012	0.015	NA	NA
