GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ALMS1	MUT	531.882	1.631	0.006	0.006	NA	NA
BUB3	DEL	531.882	14.355	0.021	0.021	NA	NA
MELK	DEL	531.882	1.692	0.006	0.006	NA	NA
RPA2	DEL	531.882	3.416	0.006	0.006	NA	NA
XRCC2	DEL	531.882	11.977	0.015	0.018	NA	NA
CAMK2G	DEL	531.882	14.355	0.021	0.021	NA	NA
CXCL12	DEL	531.882	9.599	0.015	0.015	NA	NA
EGFR	MUT	531.882	212.540	0.393	0.393	NA	NA
FGFR2	DEL	531.882	19.073	0.027	0.027	NA	NA
GRIN2B	MUT	531.882	3.939	0.009	0.009	NA	NA
MAPK8	DEL	531.882	13.585	0.018	0.018	NA	NA
PRKY	DEL	531.882	77.840	0.183	0.195	NA	NA
SLC6A3	DEL	531.882	7.884	0.018	0.018	NA	NA
VCL	DEL	531.882	14.355	0.021	0.021	NA	NA
GTF2H2	AMPL	531.882	5.649	0.012	0.027	NA	NA
PLAU	DEL	531.882	14.355	0.021	0.021	NA	NA
P4HA1	DEL	531.882	10.189	0.015	0.021	NA	NA
WNT2	MUT	531.882	19.931	0.030	0.030	NA	NA
NCOA4	DEL	531.882	5.660	0.009	0.012	NA	NA
ARHGEF16	MUT	531.882	3.119	0.009	0.012	NA	NA
MYST4	DEL	531.882	13.691	0.024	0.030	NA	NA
SHB	DEL	531.882	5.424	0.012	0.012	NA	NA
CDH23	DEL	531.882	13.958	0.030	0.030	NA	NA
CDH9	MUT	531.882	1.773	0.021	0.021	NA	NA
PCDH11Y	DEL	531.882	29.250	0.189	0.198	NA	NA
PCDH7	MUT	531.882	1.682	0.012	0.012	NA	NA
PCDH9	MUT	531.882	3.813	0.015	0.015	NA	NA
MMP13	MUT	531.882	4.503	0.009	0.015	NA	NA
PPP3CB	DEL	531.882	1.691	0.021	0.024	NA	NA
CNTFR	DEL	531.882	3.774	0.006	0.006	NA	NA
ZNF181	MUT	19.926	0.164	0.009	0.009	NA	NA
ZNF239	DEL	19.926	0.263	0.018	0.018	NA	NA
HNRNPF	DEL	8.337	12.138	0.018	0.018	NA	NA
SEC24C	DEL	5.968	6.657	0.015	0.021	NA	NA
RYR2	MUT	5.606	21.623	0.052	0.079	NA	NA
RYR3	MUT	5.606	10.504	0.040	0.052	NA	NA
C3	MUT	4.937	0.228	0.018	0.018	NA	NA
TACR2	DEL	4.367	0.067	0.015	0.018	NA	NA
HNRNPH3	DEL	3.435	3.073	0.015	0.021	NA	NA
RFX6	MUT	3.309	0.045	0.009	0.018	NA	NA
SHPRH	MUT	3.101	0.018	0.006	0.006	NA	NA
UROS	DEL	2.648	0.008	0.003	0.021	NA	NA
NEUROG3	DEL	2.502	2.151	0.018	0.018	NA	NA
