GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACAN	MUT	499.049	5.674	0.012	0.012	NA	NA
CDKN2A	DEL	499.049	193.770	0.454	0.470	NA	NA
EGFR	MUT	499.049	212.540	0.393	0.393	NA	NA
LAMB1	MUT	499.049	9.752	0.015	0.015	NA	NA
PIK3R1	MUT	499.049	51.921	0.091	0.091	NA	NA
MAP3K1	MUT	499.049	6.939	0.015	0.015	NA	NA
CDKN2B	DEL	499.049	169.776	0.384	0.448	NA	NA
SEC61G	AMPL	499.049	60.025	0.177	0.317	NA	NA
VWF	MUT	499.049	11.650	0.024	0.030	NA	NA
GRIN2A	MUT	499.049	17.163	0.024	0.024	NA	NA
PLCB2	MUT	499.049	2.674	0.009	0.009	NA	NA
RBMX	MUT	499.049	3.582	0.009	0.009	NA	NA
PCDHA10	DEL	9.457	7.128	0.024	0.024	NA	NA
