GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	875.048	15.969	0.030	0.030	NA	NA
BARD1	MUT	875.048	2.747	0.006	0.006	NA	NA
HLA-DRB1	AMPL	875.048	94.991	0.189	0.189	NA	NA
IRS4	MUT	875.048	5.776	0.009	0.012	NA	NA
ITGA4	MUT	875.048	4.567	0.009	0.009	NA	NA
LRP2	MUT	875.048	19.276	0.046	0.046	NA	NA
TP53	MUT	875.048	159.942	0.284	0.284	NA	NA
TTN	MUT	875.048	57.477	0.116	0.207	NA	NA
KIF2B	MUT	875.048	3.760	0.018	0.018	NA	NA
ITSN1	MUT	875.048	8.682	0.012	0.012	NA	NA
PTEN	MUT	875.048	146.881	0.299	0.314	NA	NA
CDKN2B	DEL	875.048	169.776	0.384	0.448	NA	NA
SPAG5	MUT	875.048	2.668	0.003	0.012	NA	NA
WEE2	MUT	875.048	10.981	0.015	0.015	NA	NA
PRKY	DEL	875.048	77.840	0.183	0.195	NA	NA
CPSF1	MUT	875.048	2.692	0.009	0.009	NA	NA
KIF5B	MUT	875.048	8.495	0.015	0.018	NA	NA
SEC61G	AMPL	15.333	60.025	0.177	0.317	NA	NA
PCDH11Y	DEL	9.598	29.250	0.189	0.198	NA	NA
