GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AMPH	MUT	489.758	17.933	0.021	0.021	NA	NA
DNMBP	MUT	489.758	9.025	0.018	0.024	NA	NA
EZR	MUT	489.758	6.306	0.012	0.012	NA	NA
HLA-DRB1	AMPL	489.758	94.991	0.189	0.189	NA	NA
PTPRF	MUT	489.758	7.349	0.012	0.012	NA	NA
TP53	MUT	489.758	159.942	0.284	0.284	NA	NA
GABRA1	MUT	489.758	7.578	0.015	0.015	NA	NA
PTEN	MUT	489.758	146.881	0.299	0.314	NA	NA
BRSK1	MUT	489.758	1.493	0.003	0.003	NA	NA
CCNE1	AMPL	489.758	6.526	0.009	0.009	NA	NA
GRM5	MUT	489.758	5.931	0.012	0.012	NA	NA
TRPV6	MUT	489.758	9.397	0.012	0.024	NA	NA
FFAR3	DEL	489.758	19.468	0.055	0.067	NA	NA
ZNF786	MUT	11.518	8.460	0.018	0.018	NA	NA
PHKA1	MUT	5.847	0.018	0.003	0.006	NA	NA
CHD5	MUT	5.155	0.016	0.003	0.030	NA	NA
