GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTA2	DEL	316.642	17.836	0.027	0.027	NA	NA
CDKN2A	DEL	316.642	193.770	0.454	0.470	NA	NA
TP53	MUT	316.642	159.942	0.284	0.284	NA	NA
NUMA1	MUT	316.642	3.762	0.009	0.012	NA	NA
FAS	DEL	316.642	11.941	0.021	0.024	NA	NA
CDKN2B	DEL	316.642	169.776	0.384	0.448	NA	NA
CACNA1G	MUT	16.571	0.051	0.003	0.003	NA	NA
PCDHGC5	MUT	7.036	14.185	0.107	0.110	NA	NA
IFIT3	DEL	3.181	0.019	0.006	0.018	NA	NA
HLA-DRB1	AMPL	2.780	94.991	0.189	0.189	NA	NA
RBAK	MUT	2.719	4.274	0.015	0.015	NA	NA
