GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	236.705	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	236.705	169.776	0.384	0.448	NA	NA
ITGA10	MUT	236.705	4.838	0.009	0.009	NA	NA
PDGFRA	MUT	236.705	26.689	0.055	0.055	NA	NA
PSIP1	AMPL	236.705	6.323	0.012	0.012	NA	NA
FGA	MUT	236.705	10.025	0.015	0.015	NA	NA
ROCK2	MUT	236.705	2.597	0.006	0.006	NA	NA
HSPA1L	MUT	236.705	0.722	0.003	0.003	NA	NA
ADRA2B	MUT	17.787	4.152	0.006	0.006	NA	NA
CER1	AMPL	17.787	5.655	0.012	0.015	NA	NA
KIF15	MUT	6.873	0.021	0.003	0.003	NA	NA
TYK2	MUT	5.873	2.586	0.012	0.012	NA	NA
CSTF1	MUT	2.984	0.009	0.003	0.003	NA	NA
GRIP1	MUT	2.653	0.008	0.003	0.030	NA	NA
