GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTA2	DEL	1372.721	17.836	0.027	0.027	NA	NA
ANK1	MUT	1372.721	11.303	0.024	0.037	NA	NA
CABIN1	MUT	1372.721	7.818	0.012	0.012	NA	NA
FAS	DEL	1372.721	11.941	0.021	0.024	NA	NA
INPP5D	MUT	1372.721	6.716	0.009	0.009	NA	NA
LRP1	MUT	1372.721	24.038	0.034	0.034	NA	NA
PTEN	DEL	1372.721	146.881	0.299	0.314	NA	NA
SFN	MUT	1372.721	4.185	0.003	0.003	NA	NA
CLIP1	MUT	1372.721	6.617	0.009	0.009	NA	NA
CDKN2A	DEL	1372.721	193.770	0.454	0.470	NA	NA
CDH23	MUT	1372.721	13.958	0.030	0.030	NA	NA
RPSA	MUT	1372.721	11.921	0.015	0.018	NA	NA
