GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
APOB	MUT	393.726	19.241	0.040	0.040	NA	NA
CCND2	MUT	393.726	6.393	0.015	0.015	NA	NA
CDKN2A	DEL	393.726	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	393.726	169.776	0.384	0.448	NA	NA
JAK2	MUT	393.726	3.008	0.006	0.006	NA	NA
MAPK1	MUT	393.726	5.030	0.009	0.009	NA	NA
PIK3CA	MUT	393.726	54.851	0.091	0.091	NA	NA
PTPRF	MUT	393.726	7.349	0.012	0.012	NA	NA
NRXN1	MUT	393.726	6.768	0.009	0.015	NA	NA
EIF4A1	MUT	393.726	1.200	0.003	0.003	NA	NA
HLA-DRB1	AMPL	393.726	94.991	0.189	0.189	NA	NA
LBP	MUT	393.726	3.984	0.009	0.009	NA	NA
GLI1	MUT	393.726	40.699	0.064	0.064	NA	NA
KCNB1	MUT	6.404	0.039	0.006	0.006	NA	NA
BRAF	MUT	3.488	13.418	0.018	0.018	NA	NA
DCHS2	MUT	3.450	0.093	0.015	0.015	NA	NA
PCDH7	MUT	3.450	1.682	0.012	0.012	NA	NA
PCDHAC2	MUT	3.450	13.228	0.101	0.101	NA	NA
FBN2	MUT	2.989	10.139	0.018	0.021	NA	NA
DLL1	MUT	2.838	0.009	0.003	0.003	NA	NA
KLHL9	DEL	2.708	37.392	0.104	0.229	NA	NA
ELAVL2	DEL	2.692	18.706	0.088	0.143	NA	NA
ARHGAP20	MUT	2.507	0.008	0.003	0.003	NA	NA
