GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATRX	MUT	592.840	17.376	0.037	0.043	NA	NA
CDK4	AMPL	592.840	64.697	0.113	0.116	NA	NA
MAPK13	AMPL	592.840	5.940	0.009	0.009	NA	NA
MAPK14	AMPL	592.840	1.807	0.003	0.003	NA	NA
MDM4	MUT	592.840	12.338	0.021	0.037	NA	NA
PSMB8	MUT	592.840	4.016	0.006	0.006	NA	NA
RNF8	AMPL	592.840	1.834	0.006	0.006	NA	NA
SRPK1	AMPL	592.840	5.868	0.009	0.009	NA	NA
TP53	MUT	592.840	159.942	0.284	0.284	NA	NA
MYH9	MUT	592.840	3.775	0.009	0.012	NA	NA
SLC26A8	AMPL	592.840	5.268	0.012	0.012	NA	NA
PIK3R1	MUT	592.840	51.921	0.091	0.091	NA	NA
CEP250	MUT	592.840	3.092	0.009	0.009	NA	NA
SIN3A	MUT	592.840	5.650	0.009	0.009	NA	NA
DHX38	MUT	592.840	3.743	0.006	0.006	NA	NA
IL22	MUT	592.840	12.270	0.018	0.027	NA	NA
GLI1	AMPL	592.840	40.699	0.064	0.064	NA	NA
PROS1	MUT	592.840	3.208	0.006	0.006	NA	NA
ZNF790	MUT	11.232	0.034	0.003	0.003	NA	NA
BYSL	AMPL	7.689	0.023	0.003	0.003	NA	NA
PCDHAC2	MUT	6.993	13.228	0.101	0.101	NA	NA
GUCA1A	AMPL	2.569	0.008	0.003	0.003	NA	NA
