GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY6	MUT	1066.296	12.473	0.012	0.015	NA	NA
DSG3	MUT	1066.296	3.251	0.003	0.018	NA	NA
MMP9	MUT	1066.296	4.548	0.006	0.006	NA	NA
PRKY	DEL	1066.296	77.840	0.183	0.195	NA	NA
PSMD4	MUT	1066.296	3.251	0.003	0.003	NA	NA
PTEN	MUT	1066.296	146.881	0.299	0.314	NA	NA
TBL1Y	DEL	1066.296	41.165	0.073	0.195	NA	NA
TP53	MUT	1066.296	159.942	0.284	0.284	NA	NA
TTN	MUT	1066.296	57.477	0.116	0.207	NA	NA
PCDH11Y	DEL	1066.296	29.250	0.189	0.198	NA	NA
PCDHAC2	MUT	1066.296	13.228	0.101	0.101	NA	NA
RBMY1A1	DEL	9.414	6.531	0.021	0.149	NA	NA
ZNF860	MUT	9.272	0.128	0.006	0.006	NA	NA
RPS4Y1	DEL	3.197	4.989	0.030	0.192	NA	NA
DNAH7	MUT	2.857	0.009	0.003	0.015	NA	NA
