GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY6	MUT	242.838	12.473	0.012	0.015	NA	NA
CREB1	MUT	242.838	0.740	0.003	0.003	NA	NA
EGFR	MUT	242.838	212.540	0.393	0.393	NA	NA
DNM1L	AMPL	242.838	0.740	0.003	0.009	NA	NA
IAPP	AMPL	242.838	0.769	0.006	0.012	NA	NA
PIK3CG	MUT	242.838	22.232	0.037	0.037	NA	NA
PTEN	MUT	242.838	146.881	0.299	0.314	NA	NA
HLA-DRB1	AMPL	242.838	94.991	0.189	0.189	NA	NA
KRAS	AMPL_MUT	242.838	3.093	0.009	0.009	NA	NA
CDKN2A	DEL	5.536	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	5.536	169.776	0.384	0.448	NA	NA
ALB	MUT	4.642	0.024	0.006	0.009	NA	NA
TTN	MUT	3.057	57.477	0.116	0.207	NA	NA
ALMS1	MUT	3.029	1.631	0.006	0.006	NA	NA
ZNF208	MUT	2.968	0.209	0.015	0.015	NA	NA
CACNA1H	DEL	2.887	4.135	0.034	0.043	NA	NA
