GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATRX	MUT	498.576	17.376	0.037	0.043	NA	NA
CDKN2A	DEL	498.576	193.770	0.454	0.470	NA	NA
TP53	MUT	498.576	159.942	0.284	0.284	NA	NA
KLHL9	DEL	498.576	37.392	0.104	0.229	NA	NA
CDKN2B	DEL	498.576	169.776	0.384	0.448	NA	NA
HSPG2	MUT	498.576	16.699	0.024	0.024	NA	NA
PRKCD	MUT	498.576	3.752	0.009	0.009	NA	NA
VAMP7	MUT	498.576	6.242	0.009	0.009	NA	NA
PAPOLA	MUT	498.576	3.622	0.006	0.006	NA	NA
IFNA1	DEL	498.576	47.119	0.110	0.256	NA	NA
IFNB1	DEL	498.576	16.294	0.040	0.174	NA	NA
ZNF718	MUT	498.576	1.553	0.009	0.012	NA	NA
FSHR	MUT	5.998	0.018	0.003	0.003	NA	NA
FFAR2	MUT	3.280	1.829	0.006	0.009	NA	NA
RAP2B	MUT	3.257	0.010	0.003	0.003	NA	NA
