GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADAM2	MUT	407.250	1.251	0.006	0.006	NA	NA
CTNNA2	MUT	407.250	3.753	0.009	0.009	NA	NA
ITGA1	MUT	407.250	3.451	0.006	0.006	NA	NA
ITGAX	MUT	407.250	4.840	0.018	0.018	NA	NA
LAMB4	MUT	407.250	11.174	0.018	0.018	NA	NA
SRC	MUT	407.250	2.849	0.006	0.006	NA	NA
PDGFRA	MUT	407.250	26.689	0.055	0.055	NA	NA
HTR2C	MUT	407.250	1.242	0.003	0.003	NA	NA
DMD	MUT	407.250	20.200	0.040	0.040	NA	NA
GABRB3	MUT	407.250	11.488	0.021	0.021	NA	NA
CDC23	MUT	407.250	1.242	0.003	0.003	NA	NA
IFI16	MUT	407.250	3.226	0.006	0.006	NA	NA
PLAT	MUT	407.250	2.811	0.006	0.006	NA	NA
PCDHAC2	MUT	407.250	13.228	0.101	0.101	NA	NA
ROBO1	MUT	407.250	1.272	0.009	0.009	NA	NA
HLA-DRB1	AMPL	407.250	94.991	0.189	0.189	NA	NA
IFNGR2	MUT	407.250	2.773	0.006	0.006	NA	NA
ZNF844	MUT	10.950	0.088	0.012	0.018	NA	NA
SEC61G	AMPL	9.512	60.025	0.177	0.317	NA	NA
CEP70	MUT	7.758	0.075	0.009	0.009	NA	NA
