GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	261.785	193.770	0.454	0.470	NA	NA
GTF2H2	AMPL	261.785	5.649	0.012	0.027	NA	NA
TP53	MUT	261.785	159.942	0.284	0.284	NA	NA
CDKN2B	DEL	261.785	169.776	0.384	0.448	NA	NA
FBN1	MUT	261.785	4.091	0.012	0.012	NA	NA
KDR	AMPL_MUT	261.785	27.837	0.061	0.064	NA	NA
SRI	AMPL	261.785	3.454	0.015	0.015	NA	NA
KIF4A	MUT	261.785	0.798	0.003	0.009	NA	NA
KIT	AMPL	261.785	36.037	0.076	0.076	NA	NA
PDGFRA	AMPL_MUT	261.785	26.689	0.055	0.055	NA	NA
POU5F1	MUT	261.785	3.710	0.009	0.009	NA	NA
CELSR3	MUT	8.193	0.102	0.012	0.012	NA	NA
ZNF697	MUT	2.719	0.016	0.006	0.006	NA	NA
