GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACAN	MUT	542.491	5.674	0.012	0.012	NA	NA
COL12A1	MUT	542.491	6.529	0.009	0.009	NA	NA
EGFR	AMPL	542.491	212.540	0.393	0.393	NA	NA
NTN4	MUT	542.491	4.818	0.012	0.012	NA	NA
SDC1	MUT	542.491	1.690	0.006	0.006	NA	NA
SEC61G	AMPL	542.491	60.025	0.177	0.317	NA	NA
ATM	MUT	542.491	12.227	0.018	0.018	NA	NA
CDKN2A	DEL	542.491	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	542.491	169.776	0.384	0.448	NA	NA
DMD	MUT	542.491	20.200	0.040	0.040	NA	NA
EXOC6	MUT	542.491	1.654	0.003	0.015	NA	NA
IFNB1	DEL	542.491	16.294	0.040	0.174	NA	NA
PRDM9	MUT	36.458	1.969	0.015	0.024	NA	NA
TIMELESS	MUT	5.982	2.167	0.012	0.015	NA	NA
RAB9B	MUT	5.350	0.016	0.003	0.003	NA	NA
