GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
COL3A1	MUT	545.669	11.258	0.018	0.018	NA	NA
FLNC	MUT	545.669	14.653	0.024	0.024	NA	NA
DOCK2	MUT	545.669	4.606	0.012	0.018	NA	NA
EGFR	AMPL	545.669	212.540	0.393	0.393	NA	NA
SEC24B	MUT	545.669	4.076	0.006	0.006	NA	NA
KDR	AMPL	545.669	27.837	0.061	0.064	NA	NA
KIT	AMPL	545.669	36.037	0.076	0.076	NA	NA
LRP2	MUT	545.669	19.276	0.046	0.046	NA	NA
DNMBP	MUT	545.669	9.025	0.018	0.024	NA	NA
PTEN	MUT	545.669	146.881	0.299	0.314	NA	NA
PRKDC	MUT	545.669	8.804	0.021	0.021	NA	NA
CDKN2A	DEL	19.792	193.770	0.454	0.470	NA	NA
PCDH7	MUT	10.103	1.682	0.012	0.012	NA	NA
KIF2B	MUT	6.715	3.760	0.018	0.018	NA	NA
