GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BMI1	AMPL	516.579	1.575	0.003	0.015	NA	NA
ERBB2	MUT	516.579	7.530	0.021	0.021	NA	NA
ITGA8	AMPL	516.579	8.794	0.015	0.015	NA	NA
ITGB1	AMPL	516.579	12.783	0.018	0.018	NA	NA
PPP2R5D	MUT	516.579	1.575	0.003	0.003	NA	NA
PRKCQ	AMPL	516.579	9.145	0.015	0.015	NA	NA
CEP135	AMPL	516.579	8.035	0.027	0.027	NA	NA
HSPA14	AMPL	516.579	1.575	0.003	0.015	NA	NA
KIF5B	AMPL	516.579	8.495	0.015	0.018	NA	NA
VIM	AMPL	516.579	7.745	0.012	0.015	NA	NA
KDR	AMPL	516.579	27.837	0.061	0.064	NA	NA
KRAS	MUT	516.579	3.093	0.009	0.009	NA	NA
EPC1	AMPL	516.579	12.715	0.018	0.018	NA	NA
SRP72	AMPL	516.579	1.637	0.012	0.021	NA	NA
IGFBP7	AMPL	516.579	7.141	0.015	0.015	NA	NA
PARD3	AMPL	516.579	9.676	0.018	0.018	NA	NA
KIT	AMPL	516.579	36.037	0.076	0.076	NA	NA
CALML5	AMPL	516.579	7.857	0.015	0.015	NA	NA
PCDH9	DEL	18.669	3.813	0.015	0.015	NA	NA
CUGBP2	AMPL	13.127	0.040	0.003	0.012	NA	NA
POLR2B	AMPL	13.127	5.059	0.018	0.018	NA	NA
CLOCK	AMPL	5.759	10.727	0.021	0.037	NA	NA
NRP1	AMPL	4.662	8.003	0.018	0.018	NA	NA
ISL1	MUT	4.617	0.014	0.003	0.003	NA	NA
PRTFDC1	AMPL	3.844	0.020	0.006	0.012	NA	NA
GDI2	AMPL	3.642	0.011	0.003	0.012	NA	NA
EDNRB	DEL	3.624	0.011	0.003	0.003	NA	NA
PTF1A	AMPL	2.895	2.248	0.012	0.012	NA	NA
ABI1	AMPL	2.739	0.016	0.006	0.015	NA	NA
