GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CACNA1B	MUT	522.663	6.628	0.015	0.015	NA	NA
CACNA1E	MUT	522.663	7.857	0.015	0.015	NA	NA
CSF2RB	MUT	522.663	8.624	0.018	0.018	NA	NA
EGFR	AMPL_MUT	522.663	212.540	0.393	0.393	NA	NA
SEC61G	AMPL	522.663	60.025	0.177	0.317	NA	NA
HLA-DRB1	AMPL	522.663	94.991	0.189	0.189	NA	NA
RECQL5	MUT	522.663	3.350	0.006	0.012	NA	NA
EFNB1	MUT	522.663	1.593	0.003	0.003	NA	NA
SSTR3	MUT	522.663	4.815	0.009	0.009	NA	NA
ELAVL2	DEL	522.663	18.706	0.088	0.143	NA	NA
CDKN2A	DEL	522.663	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	522.663	169.776	0.384	0.448	NA	NA
FFAR3	DEL	522.663	19.468	0.055	0.067	NA	NA
DCHS2	MUT	6.746	0.093	0.015	0.015	NA	NA
PCDHA8	AMPL	6.746	3.410	0.012	0.012	NA	NA
PCDHAC2	MUT	6.746	13.228	0.101	0.101	NA	NA
TCHH	MUT	2.603	0.019	0.006	0.037	NA	NA
