GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATRX	MUT	455.750	17.376	0.037	0.043	NA	NA
CDKN2A	DEL	455.750	193.770	0.454	0.470	NA	NA
SMARCA2	DEL	455.750	9.634	0.021	0.021	NA	NA
TP53	MUT	455.750	159.942	0.284	0.284	NA	NA
TSC2	MUT	455.750	7.958	0.012	0.012	NA	NA
ITGB8	MUT	455.750	13.102	0.015	0.015	NA	NA
LAMA2	MUT	455.750	13.872	0.018	0.018	NA	NA
KLHL9	DEL	455.750	37.392	0.104	0.229	NA	NA
CDKN2B	DEL	455.750	169.776	0.384	0.448	NA	NA
GNGT2	MUT	455.750	2.752	0.006	0.006	NA	NA
PRKY	DEL	455.750	77.840	0.183	0.195	NA	NA
PCDH11Y	DEL	455.750	29.250	0.189	0.198	NA	NA
ZNF844	MUT	9.459	0.088	0.012	0.018	NA	NA
VLDLR	DEL	3.684	5.671	0.012	0.012	NA	NA
HNRNPU	MUT	2.576	3.030	0.009	0.012	NA	NA
KCNV2	DEL	2.522	1.684	0.009	0.012	NA	NA
