GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CACNA1I	MUT	340.729	3.655	0.012	0.012	NA	NA
EGFR	AMPL	340.729	212.540	0.393	0.393	NA	NA
FRS2	AMPL	340.729	12.203	0.024	0.024	NA	NA
RAB3GAP2	DEL	340.729	3.422	0.012	0.012	NA	NA
RYR3	MUT	340.729	10.504	0.040	0.052	NA	NA
CD8A	MUT	340.729	1.039	0.003	0.003	NA	NA
CDK4	AMPL	340.729	64.697	0.113	0.116	NA	NA
CDKN2A	DEL	340.729	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	340.729	169.776	0.384	0.448	NA	NA
NEK2	DEL	340.729	2.224	0.006	0.006	NA	NA
CCT2	AMPL	340.729	10.165	0.024	0.030	NA	NA
GRM4	MUT	31.698	1.766	0.006	0.006	NA	NA
SSTR4	MUT	31.698	2.567	0.009	0.012	NA	NA
LYZ	AMPL	11.151	4.209	0.021	0.027	NA	NA
PCDHGC5	MUT	9.022	14.185	0.107	0.110	NA	NA
NSL1	DEL	7.489	0.023	0.003	0.003	NA	NA
MARK1	DEL	4.344	0.026	0.006	0.006	NA	NA
PREX1	MUT	3.030	5.228	0.012	0.015	NA	NA
SEC63	MUT	2.847	2.111	0.006	0.009	NA	NA
KCNH1	DEL	2.617	0.057	0.009	0.012	NA	NA
TEK	DEL	2.526	25.431	0.061	0.064	NA	NA
