GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AHR	MUT	368.513	6.877	0.012	0.021	NA	NA
CDKN2A	DEL	368.513	193.770	0.454	0.470	NA	NA
CDKN2B	DEL	368.513	169.776	0.384	0.448	NA	NA
LAMA1	MUT	368.513	14.030	0.018	0.018	NA	NA
PIK3CA	MUT	368.513	54.851	0.091	0.091	NA	NA
SEC61G	AMPL	368.513	60.025	0.177	0.317	NA	NA
TEK	DEL	368.513	25.431	0.061	0.064	NA	NA
WNT5B	MUT	368.513	3.004	0.009	0.009	NA	NA
GLIS1	MUT	368.513	1.124	0.003	0.009	NA	NA
SMO	MUT	368.513	10.595	0.015	0.015	NA	NA
CD97	MUT	16.256	0.050	0.003	0.003	NA	NA
PCDHAC2	MUT	4.036	13.228	0.101	0.101	NA	NA
FGD4	MUT	2.996	2.422	0.006	0.012	NA	NA
RYR3	MUT	2.969	10.504	0.040	0.052	NA	NA
IFNA1	DEL	2.610	47.119	0.110	0.256	NA	NA
IFNA10	DEL	2.610	26.877	0.061	0.213	NA	NA
TTN	MUT	2.525	57.477	0.116	0.207	NA	NA
