GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	810.010	131.575	0.448	0.470	NA	NA
EGFR	AMPL_MUT	810.010	155.506	0.393	0.393	NA	NA
RIMS2	MUT	810.010	11.283	0.034	0.034	NA	NA
SRPK1	MUT	810.010	4.472	0.009	0.009	NA	NA
CDKN2B	DEL	810.010	113.020	0.381	0.448	NA	NA
KDR	MUT	810.010	18.540	0.055	0.064	NA	NA
SHB	MUT	810.010	4.405	0.012	0.012	NA	NA
SEC61G	AMPL	24.922	42.745	0.088	0.317	NA	NA
PCDH11Y	DEL	12.051	2.133	0.186	0.198	NA	NA
GRIN2A	MUT	10.010	7.226	0.024	0.024	NA	NA
PRKY	DEL	7.071	41.472	0.162	0.195	NA	NA
