GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	772.203	131.575	0.448	0.470	NA	NA
POLR2A	MUT	772.203	3.596	0.006	0.006	NA	NA
CHL1	MUT	772.203	3.809	0.015	0.021	NA	NA
EGFR	AMPL_MUT	772.203	155.506	0.393	0.393	NA	NA
F8	MUT	772.203	4.055	0.015	0.015	NA	NA
SEC61G	AMPL	772.203	42.745	0.088	0.317	NA	NA
CDKN2B	DEL	772.203	113.020	0.381	0.448	NA	NA
KLHL9	DEL	772.203	22.730	0.104	0.229	NA	NA
CDH18	MUT	36.998	0.335	0.018	0.027	NA	NA
ELAVL2	DEL	5.685	0.343	0.088	0.143	NA	NA
