GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
COL4A3	MUT	383.282	1.169	0.003	0.003	NA	NA
EGFR	AMPL	383.282	155.506	0.393	0.393	NA	NA
GABRA6	MUT	383.282	7.796	0.024	0.027	NA	NA
PRKY	DEL	383.282	41.472	0.162	0.195	NA	NA
PPARA	MUT	383.282	2.356	0.009	0.009	NA	NA
KCNB2	MUT	383.282	1.221	0.012	0.015	NA	NA
TCF12	MUT	383.282	2.001	0.009	0.012	NA	NA
HLA-DRB1	AMPL	383.282	63.512	0.189	0.189	NA	NA
TBL1Y	DEL	383.282	29.167	0.067	0.195	NA	NA
DCHS2	MUT	9.104	0.093	0.015	0.015	NA	NA
PCDH11Y	DEL	9.104	2.133	0.186	0.198	NA	NA
PCDHGC5	MUT	9.104	1.102	0.107	0.110	NA	NA
S100A8	MUT	6.337	0.019	0.003	0.009	NA	NA
