GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ASAP1	MUT	502.353	2.115	0.006	0.006	NA	NA
CDKN2A	DEL	502.353	174.479	0.421	0.470	NA	NA
COL27A1	MUT	502.353	1.532	0.003	0.009	NA	NA
FBLN2	MUT	502.353	5.678	0.012	0.018	NA	NA
MMP3	MUT	502.353	2.979	0.009	0.009	NA	NA
NUMA1	MUT	502.353	3.762	0.009	0.012	NA	NA
PTEN	MUT	502.353	126.731	0.259	0.314	NA	NA
SMC2	MUT	502.353	1.532	0.003	0.003	NA	NA
TEK	DEL	502.353	8.803	0.040	0.064	NA	NA
CDH18	MUT	9.887	6.730	0.015	0.027	NA	NA
MEP1A	MUT	4.710	0.014	0.003	0.006	NA	NA
ELAVL2	DEL	3.665	18.624	0.088	0.143	NA	NA
RYR3	MUT	3.150	4.814	0.024	0.052	NA	NA
KLHL9	DEL	2.860	10.024	0.058	0.229	NA	NA
