GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTA2	DEL	1372.721	17.756	0.027	0.027	NA	NA
ANK1	MUT	1372.721	9.484	0.021	0.037	NA	NA
FAS	DEL	1372.721	9.744	0.018	0.024	NA	NA
INPP5D	MUT	1372.721	6.716	0.009	0.009	NA	NA
LRP1	MUT	1372.721	22.396	0.030	0.034	NA	NA
PTEN	DEL	1372.721	126.731	0.259	0.314	NA	NA
SFN	MUT	1372.721	4.185	0.003	0.003	NA	NA
CLIP1	MUT	1372.721	4.205	0.006	0.009	NA	NA
CDKN2A	DEL	1372.721	174.479	0.421	0.470	NA	NA
CDH23	MUT	1372.721	4.229	0.009	0.030	NA	NA
