GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY2	MUT	568.652	1.772	0.006	0.009	NA	NA
COL6A3	MUT	568.652	10.465	0.018	0.034	NA	NA
HLA-DRB1	AMPL	568.652	79.274	0.171	0.189	NA	NA
PIK3R1	MUT	568.652	51.800	0.091	0.091	NA	NA
PTEN	MUT	568.652	126.731	0.259	0.314	NA	NA
RB1	DEL	568.652	36.394	0.061	0.070	NA	NA
PRKY	DEL	568.652	74.809	0.174	0.195	NA	NA
ARID1A	MUT	568.652	1.734	0.003	0.003	NA	NA
FFAR3	DEL	568.652	2.181	0.015	0.067	NA	NA
TUBA3C	MUT	13.253	0.121	0.009	0.012	NA	NA
PCDH11Y	DEL	10.417	29.231	0.189	0.198	NA	NA
NCAPG	MUT	3.676	0.042	0.006	0.009	NA	NA
PRKG2	MUT	2.703	6.161	0.012	0.015	NA	NA
