GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	1318.532	174.479	0.421	0.470	NA	NA
PRKY	DEL	1318.532	74.809	0.174	0.195	NA	NA
SNRPB	MUT	1318.532	4.020	0.003	0.003	NA	NA
PCDH11Y	DEL	1318.532	29.231	0.189	0.198	NA	NA
EPHA1	MUT	1318.532	4.020	0.003	0.009	NA	NA
RBMY1A1	DEL	1318.532	4.118	0.018	0.149	NA	NA
ZNF317	MUT	7.265	0.065	0.006	0.009	NA	NA
RPS4Y1	DEL	5.592	2.683	0.027	0.192	NA	NA
MAN2B1	MUT	2.890	0.020	0.006	0.015	NA	NA
TBL1Y	DEL	2.680	6.527	0.024	0.195	NA	NA
MEN1	MUT	2.630	0.008	0.003	0.009	NA	NA
