GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKAP6	MUT	1247.387	3.803	0.003	0.009	NA	NA
ANAPC4	MUT	1247.387	3.803	0.003	0.003	NA	NA
CDK4	AMPL	1247.387	64.369	0.113	0.116	NA	NA
EGFR	MUT	1247.387	212.175	0.393	0.393	NA	NA
HLA-DRB1	AMPL	1247.387	79.274	0.171	0.189	NA	NA
PIK3R1	MUT	1247.387	51.800	0.091	0.091	NA	NA
TP53	MUT	1247.387	159.660	0.284	0.284	NA	NA
GLI1	AMPL	1247.387	40.388	0.064	0.064	NA	NA
PLCL1	MUT	1247.387	5.337	0.009	0.009	NA	NA
KIF5A	AMPL	33.340	19.046	0.055	0.064	NA	NA
SEC61G	AMPL	8.567	13.748	0.122	0.317	NA	NA
TPM3	MUT	6.953	1.976	0.006	0.006	NA	NA
ZNF583	MUT	2.861	0.009	0.003	0.003	NA	NA
SHPRH	MUT	2.728	0.018	0.006	0.006	NA	NA
