GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	729.462	174.479	0.421	0.470	NA	NA
PIK3R1	MUT	729.462	51.800	0.091	0.091	NA	NA
PSMC3	MUT	729.462	2.224	0.003	0.003	NA	NA
PSIP1	DEL	729.462	6.119	0.012	0.012	NA	NA
SSRP1	MUT	729.462	2.224	0.003	0.003	NA	NA
IFNA1	DEL	729.462	8.152	0.024	0.256	NA	NA
PRKY	DEL	729.462	74.809	0.174	0.195	NA	NA
VLDLR	DEL	729.462	3.863	0.009	0.012	NA	NA
ELAVL2	DEL	729.462	18.624	0.088	0.143	NA	NA
CER1	DEL	729.462	5.655	0.012	0.015	NA	NA
GLIS3	DEL	10.923	0.042	0.006	0.006	NA	NA
MVP	MUT	6.050	0.018	0.003	0.009	NA	NA
PCDH11Y	DEL	5.998	29.231	0.189	0.198	NA	NA
SLC1A1	DEL	4.435	0.023	0.006	0.006	NA	NA
DPYSL5	MUT	2.991	0.018	0.006	0.006	NA	NA
PTPRD	DEL	2.902	4.135	0.015	0.015	NA	NA
