GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTN1	MUT	724.544	3.494	0.006	0.006	NA	NA
CDK4	AMPL	724.544	64.369	0.113	0.116	NA	NA
PSMB8	MUT	724.544	4.016	0.006	0.006	NA	NA
SMARCC2	MUT	724.544	8.402	0.009	0.015	NA	NA
YEATS4	AMPL	724.544	8.337	0.021	0.024	NA	NA
EGFR	MUT	724.544	212.175	0.393	0.393	NA	NA
HCK	MUT	724.544	8.380	0.015	0.015	NA	NA
MED13	MUT	724.544	5.547	0.009	0.009	NA	NA
GNG5	MUT	724.544	2.209	0.003	0.003	NA	NA
HLA-DRB1	AMPL	724.544	79.274	0.171	0.189	NA	NA
IL15	AMPL	724.544	2.231	0.006	0.006	NA	NA
HSPB8	AMPL	7.777	0.024	0.003	0.006	NA	NA
LYZ	AMPL	7.116	0.305	0.015	0.027	NA	NA
RAB3IP	AMPL	2.523	0.008	0.003	0.021	NA	NA
